beta,gamma,rho,weight
0.19065810038854508,0.08630646810265463,0.24643288713310707,0.002888520245662706
0.14671037015945781,0.09026196515463698,0.21931205423870753,0.0024882307560347566
0.23202508383290057,0.09501488474778849,0.40778351679430186,0.0032060750459379133
0.17909385412108322,0.08149464996278084,0.27577738089674175,0.0024603770523736216
0.13266988729895804,0.08067880662289721,0.1340925399717445,0.0031614349726521757
0.11277182030611949,0.08367831681764476,0.15106065845658212,0.0031303784951755152
0.1222897073227487,0.07693399990353639,0.20442467763520927,0.0029954012817786178
0.16950971006721602,0.0763121202173954,0.2570816488934226,0.0025782072506384027
0.14867850338767588,0.08826321441132423,0.30730811219765974,0.002740089079988429
0.19044797517036563,0.08109980901549485,0.21495332013090157,0.0035631292885288145
0.16081208763891597,0.08681108040130212,0.2408703515900484,0.00240293058544747
0.1737462721691861,0.07049311586628587,0.2911588629566382,0.002713002272764263
0.1219346736042588,0.06251110677010843,0.1784240985088919,0.004024599443329426
0.16126641793325916,0.10858690387590743,0.28459957729911217,0.0031722526910733504
0.2847390540311049,0.068397965548291,0.42022284453162684,0.010606767825408533
0.15224089166396962,0.0745490645374467,0.31028623212918854,0.0027447414034703754
0.14672504908334055,0.07792358873209257,0.3031698348373127,0.0027602996415797333
0.17473202962119616,0.07733099753126581,0.3577141457319854,0.0025908189468807534
0.16151490342004712,0.06828544131271501,0.3505859197089988,0.0030691985341726354
0.20547474078439681,0.07583536975705078,0.4408310609529254,0.0029865183172882634
0.2912908435118524,0.07481588524245245,0.5798387533559644,0.007108377029442596
0.13185769662722113,0.07516824351878765,0.17281749494458595,0.0029993797811338906
0.16449519803632834,0.06961212254869964,0.39221397975824857,0.0034335036068660683
0.21863220127104124,0.08282614376384019,0.4419449042354845,0.0029301290236601373
0.1838334912495055,0.06943483759448155,0.23260130893746386,0.0036383151773194873
0.16426301275081379,0.0667044960477026,0.3617848883483773,0.00318827056908462
0.19772293165031735,0.08948048602778552,0.30459055667629187,0.002566556661623274
0.1804888367520556,0.08733835946775215,0.30136650146547567,0.0023548516131633524
0.19635684996443456,0.0719924776906323,0.2922074113977191,0.0030747932706381214
