beta,gamma,rho,sim_peak,sim_rewire,sim_mean_deg,distance
0.4778719108370996,0.15608271832129078,0.5466254169444591,0.63,487.0,10.09,0.31001510874331617
0.4758444591619685,0.13486145837478883,0.6242908701790223,0.62,534.0,9.98,0.19142844600730674
0.3790412296504088,0.13130075980278386,0.48056702484874814,0.71,516.0,10.08,0.302311527537686
0.15915244465303105,0.05817221714141618,0.3070874594732593,0.72,567.0,10.08,0.3250416347965882
0.4783795050401179,0.16645822893488085,0.5692621700210483,0.65,498.0,10.04,0.1573453095480512
0.28760920473695284,0.13984059795010811,0.507140430613522,0.65,604.0,10.11,0.34959754229902573
0.3773278812090619,0.1583726870352239,0.555041757975815,0.59,587.0,10.02,0.28653696450612404
0.49038780980142643,0.10230522247257255,0.5345921149497944,0.67,497.0,9.93,0.3221515411424634
0.35553095178592703,0.15448067416234054,0.5359101226525204,0.645,543.0,10.08,0.21143149823707844
0.17142814504598025,0.09007646093227382,0.3285636929225347,0.64,563.0,9.93,0.2985404847445271
0.4326372319894648,0.1641478604659539,0.6070019154032152,0.63,559.0,9.96,0.2189939957068509
0.42996425134677013,0.15752678166771078,0.5366344425577612,0.615,477.0,10.07,0.30833195582973966
0.13826240568762863,0.0864815769142713,0.32056531020987483,0.595,580.0,10.04,0.27105792513982246
0.12004382721167875,0.0623331107395356,0.21735042721298267,0.65,494.0,10.01,0.15165810433512697
0.42353517202994967,0.09232933634305006,0.6070429849897625,0.68,648.0,10.02,0.30910760033462065
0.20359628407708658,0.129412550096412,0.2942864701480651,0.635,440.0,10.03,0.31729512820106015
0.38706179018328585,0.16220382437178837,0.6488386120375507,0.615,641.0,10.02,0.3205843529419897
0.4557953089953391,0.08721482252596699,0.584746006186185,0.72,560.0,10.06,0.28420071898771987
0.2126405339742483,0.11072955159501192,0.3160782554404542,0.65,443.0,10.07,0.34235091801356965
0.49995957366222393,0.16121982345286068,0.5127678840457605,0.63,485.0,9.95,0.29960925421181855
0.34645157268434174,0.15968017254521516,0.47374816970420386,0.635,554.0,9.95,0.23823163195578068
0.3827483129961189,0.12105108605693075,0.5291671899215212,0.625,519.0,9.96,0.23764025221617893
0.17175467376999393,0.09565310649588186,0.3563683535864369,0.635,599.0,10.03,0.18195873997002848
0.2547703947993173,0.1381674863421451,0.4723590920759444,0.62,652.0,10.04,0.3475727140655449
0.23992198274251147,0.12468084320479392,0.42723224262028103,0.635,526.0,9.99,0.13557403451304012
0.23194665039457285,0.09710908374211835,0.47000509884717845,0.635,648.0,10.0,0.31331952283344655
0.3466389524908238,0.12530980177777054,0.5538385038486676,0.67,660.0,10.02,0.3344113920201602
0.4665215268941971,0.13498943011249467,0.5211212032163955,0.625,455.0,10.01,0.2887070681176911
0.35201383954557686,0.10458100965547379,0.5858065348422964,0.675,659.0,10.02,0.3350227994783121
0.3165383632374397,0.10183849971262669,0.4468730320474181,0.695,465.0,10.01,0.2743642133436173
